Date : 2022-03-14 20:11:02
Directory : e:\BGGT XRM\BizzMaster\client\src
Total : 73 files,  4669 codes, 224 comments, 963 blanks, all 5856 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| e:\BGGT XRM\BizzMaster\client\src\features\cars\Cars.tsx                          | TypeScript React |         20 |          0 |         11 |         31 |
| e:\BGGT XRM\BizzMaster\client\src\features\cars\Platforms.tsx                     | TypeScript React |         19 |          0 |         11 |         30 |
| e:\BGGT XRM\BizzMaster\client\src\features\commercial\CommercialCardDetail.tsx    | TypeScript React |         50 |          0 |         12 |         62 |
| e:\BGGT XRM\BizzMaster\client\src\features\commercial\CommercialCards.tsx         | TypeScript React |         34 |          0 |         19 |         53 |
| e:\BGGT XRM\BizzMaster\client\src\features\commercial\OrderRegistrationDetail.tsx | TypeScript React |         57 |          0 |         12 |         69 |
| e:\BGGT XRM\BizzMaster\client\src\features\commercial\OrderRegistrations.tsx      | TypeScript React |         35 |          0 |         19 |         54 |
| e:\BGGT XRM\BizzMaster\client\src\features\error\NotFound.tsx                     | TypeScript React |         14 |          0 |          1 |         15 |
| e:\BGGT XRM\BizzMaster\client\src\features\home\HomePage.tsx                      | TypeScript React |          8 |          0 |          1 |          9 |
| e:\BGGT XRM\BizzMaster\client\src\features\leadtime\LeadTime.tsx                  | TypeScript React |         65 |          0 |         17 |         82 |
| e:\BGGT XRM\BizzMaster\client\src\features\leadtime\LeadTimeHistory.tsx           | TypeScript React |         68 |          1 |         13 |         82 |
| e:\BGGT XRM\BizzMaster\client\src\features\leadtime\SubmitLeadTime.tsx            | TypeScript React |        193 |          3 |         24 |        220 |
| e:\BGGT XRM\BizzMaster\client\src\features\order\Order.tsx                        | TypeScript React |         81 |          0 |         19 |        100 |
| e:\BGGT XRM\BizzMaster\client\src\features\order\OrderHistory.tsx                 | TypeScript React |         79 |          1 |         17 |         97 |
| e:\BGGT XRM\BizzMaster\client\src\features\order\SubmitOrder.tsx                  | TypeScript React |        258 |         23 |         32 |        313 |
| e:\BGGT XRM\BizzMaster\client\src\features\product\ProductDetails.tsx             | TypeScript React |         56 |         42 |         12 |        110 |
| e:\BGGT XRM\BizzMaster\client\src\features\product\ProductSearch.tsx              | TypeScript React |         25 |          0 |          6 |         31 |
| e:\BGGT XRM\BizzMaster\client\src\features\product\Products.tsx                   | TypeScript React |         87 |          0 |         19 |        106 |
| e:\BGGT XRM\BizzMaster\client\src\features\product\catalogSlice.ts                | TypeScript       |        141 |          1 |         17 |        159 |
| e:\BGGT XRM\BizzMaster\client\src\features\project\ProjectDetail.tsx              | TypeScript React |         59 |          0 |         22 |         81 |
| e:\BGGT XRM\BizzMaster\client\src\features\project\ProjectWizard1.tsx             | TypeScript React |         30 |          0 |         17 |         47 |
| e:\BGGT XRM\BizzMaster\client\src\features\project\ProjectWizard2.tsx             | TypeScript React |        260 |         23 |         32 |        315 |
| e:\BGGT XRM\BizzMaster\client\src\features\project\ProjectWizard3.tsx             | TypeScript React |        244 |          6 |         37 |        287 |
| e:\BGGT XRM\BizzMaster\client\src\features\project\Projects.tsx                   | TypeScript React |         39 |          1 |         20 |         60 |
| e:\BGGT XRM\BizzMaster\client\src\features\shared\HierarchialTable.tsx            | TypeScript React |         54 |          0 |         12 |         66 |
| e:\BGGT XRM\BizzMaster\client\src\features\shared\SimpleMessage.tsx               | TypeScript React |         31 |         31 |          6 |         68 |
| e:\BGGT XRM\BizzMaster\client\src\features\shared\SimpleTable.tsx                 | TypeScript React |         48 |          0 |          9 |         57 |
| e:\BGGT XRM\BizzMaster\client\src\features\stock\Stock.tsx                        | TypeScript React |         82 |          0 |         19 |        101 |
| e:\BGGT XRM\BizzMaster\client\src\features\stock\StockHistory.tsx                 | TypeScript React |         79 |          1 |         17 |         97 |
| e:\BGGT XRM\BizzMaster\client\src\features\stock\SubmitStock.tsx                  | TypeScript React |        258 |         23 |         33 |        314 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\SalesForecast.tsx               | TypeScript React |         84 |          0 |         19 |        103 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\SalesForecastHistory.tsx        | TypeScript React |         79 |          1 |         17 |         97 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\SubmitSalesForecast.tsx         | TypeScript React |        241 |         23 |         28 |        292 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplierDetails.tsx             | TypeScript React |         87 |          0 |         16 |        103 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\Suppliers.tsx                   | TypeScript React |         32 |          0 |         19 |         51 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplyLineAudit.tsx             | TypeScript React |        153 |          2 |         39 |        194 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplyLineDetails.tsx           | TypeScript React |         64 |          0 |         22 |         86 |
| e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplyLines.tsx                 | TypeScript React |         32 |          0 |         18 |         50 |
| e:\BGGT XRM\BizzMaster\client\src\features\system\Basics.tsx                      | TypeScript React |         38 |          0 |         11 |         49 |
| e:\BGGT XRM\BizzMaster\client\src\features\system\Brands.tsx                      | TypeScript React |         18 |          0 |         11 |         29 |
| e:\BGGT XRM\BizzMaster\client\src\features\system\Categories.tsx                  | TypeScript React |         25 |          0 |         12 |         37 |
| e:\BGGT XRM\BizzMaster\client\src\features\system\Countries.tsx                   | TypeScript React |         20 |          0 |         11 |         31 |
| e:\BGGT XRM\BizzMaster\client\src\features\system\MasterSystems.tsx               | TypeScript React |         17 |          0 |         10 |         27 |
| e:\BGGT XRM\BizzMaster\client\src\features\system\Usagetypes.tsx                  | TypeScript React |         17 |          0 |         10 |         27 |
| e:\BGGT XRM\BizzMaster\client\src\features\system\basicsSlice.ts                  | TypeScript       |         29 |          0 |         16 |         45 |
| e:\BGGT XRM\BizzMaster\client\src\index.tsx                                       | TypeScript React |         20 |          3 |          6 |         29 |
| e:\BGGT XRM\BizzMaster\client\src\react-app-env.d.ts                              | TypeScript       |          0 |          1 |          1 |          2 |
| e:\BGGT XRM\BizzMaster\client\src\reportWebVitals.ts                              | TypeScript       |         13 |          0 |          3 |         16 |
| e:\BGGT XRM\BizzMaster\client\src\test\App.test.tsx                               | TypeScript React |          8 |          0 |          2 |         10 |
| e:\BGGT XRM\BizzMaster\client\src\test\setupTests.ts                              | TypeScript       |          1 |          4 |          1 |          6 |
| Total                                                                             |                  |      4,669 |        224 |        963 |      5,856 |
+-----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
